City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Bandarbeyla,SO,2021-01-12 21:57:22,9.4942,50.8122,72.57,74,44,23.51
186,Sidney,AU,2021-01-12 21:55:31,-33.8679,151.2073,78.8,57,40,4.61
187,Volosovo,RU,2021-01-12 21:57:22,59.4333,29.4833,10.4,79,75,20.13
188,Ilulissat,GL,2021-01-12 21:57:23,69.2167,-51.1,14.0,79,100,3.44
189,Mar Del Plata,AR,2021-01-12 21:57:23,-38.0023,-57.5575,69.8,46,0,12.66
190,Jaca,ES,2021-01-12 21:57:23,42.569,-0.5499,23.0,100,5,2.3
191,Hambantota,LK,2021-01-12 21:57:23,6.1241,81.1185,75.2,100,75,8.05
192,Matay,EG,2021-01-12 21:57:23,28.419,30.7792,66.88,31,95,10.38
193,Aginskoye,RU,2021-01-12 21:57:23,51.1,114.53,-9.17,83,50,17.47
194,Pundaguitan,PH,2021-01-12 21:57:23,6.3711,126.1689,81.16,81,95,10.98
195,Soe,ID,2021-01-12 21:57:23,-9.8607,124.284,67.15,94,55,3.31
196,Ayan,RU,2021-01-12 21:57:23,56.45,138.1667,-17.07,79,2,2.13
197,Flinders,AU,2021-01-12 21:57:23,-34.5833,150.8552,75.99,80,53,1.01
198,Gizo,SB,2021-01-12 21:57:23,-8.103,156.8419,80.92,76,100,6.49
199,Rawson,AR,2021-01-12 21:55:19,-43.3002,-65.1023,63.75,38,0,14.61
200,Ouahigouya,BF,2021-01-12 21:57:23,13.5828,-2.4216,76.14,17,76,9.06
201,Ndago,TZ,2021-01-12 21:57:23,-4.6,34.35,63.88,93,100,2.04
202,Teya,RU,2021-01-12 21:57:24,60.3778,92.6267,-22.68,83,85,1.83
203,Saint Anthony,US,2021-01-12 21:57:24,45.0205,-93.218,37.4,64,1,6.91
204,Mildura,AU,2021-01-12 21:57:24,-34.2,142.15,77.0,37,28,5.75
205,Sorland,NO,2021-01-12 21:57:24,67.667,12.6934,34.03,84,100,21.41
206,Pisco,PE,2021-01-12 21:57:24,-13.7,-76.2167,77.0,61,0,14.97
207,Salalah,OM,2021-01-12 21:57:24,17.0151,54.0924,73.4,27,0,19.57
208,Pevek,RU,2021-01-12 21:57:24,69.7008,170.3133,-29.58,86,100,0.67
209,Ponta Do Sol,PT,2021-01-12 21:57:24,32.6667,-17.1,57.2,67,40,5.75
210,Abu Samrah,SY,2021-01-12 21:57:24,35.3029,37.1841,58.6,43,100,8.59
211,Dapaong,TG,2021-01-12 21:53:43,10.8639,0.205,76.71,17,0,6.87
